url,price,lat,long,beds,area,furnished,available
https://vancouver.craigslist.org/pml/apa/d/coquitlam-coquitlam-by-sydney-and/6918323674.html,1825,49.248105,-122.889559,2,,False,aug 1
https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-5-bedrooms-3-up-with-2/6915908602.html,3500,49.281460,-122.753308,5,2300,False,
https://vancouver.craigslist.org/rch/apa/d/vancouver-richmond-ironwood-beautiful/6918330525.html,1600,49.140615,-123.091785,2,1000,False,jul 2
https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-apartment-for-rent/6918337824.html,2100,49.261918,-123.098525,1,560,False,jun 22
https://vancouver.craigslist.org/rds/apa/d/surrey-house-for-rent/6918339640.html,1,49.169160,-122.873907,3,,False,
https://vancouver.craigslist.org/rds/apa/d/delta-brand-new-2-bed-1-bath-basement/6904229309.html,1450,49.160345,-122.906161,2,,True,jul 1
https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-generous-like-brand-new/6900937265.html,1350,49.281460,-122.753308,2,,False,jun 30
https://vancouver.craigslist.org/rds/apa/d/surrey-like-new-3-bed-3-bath-townhome-3/6903913697.html,2500,49.128937,-122.710444,3,1350,False,jul 1
https://vancouver.craigslist.org/van/apa/d/richmond-2bd2bth-unit-at-the-parc/6909973189.html,2200,49.198606,-123.110712,2,840,True,
https://vancouver.craigslist.org/van/apa/d/vancouver-3br-main-floor-house/6918337767.html,2400,49.234623,-123.075557,3,,False,
https://vancouver.craigslist.org/van/apa/d/vancouver-spectacular-views-2bdden25bth/6913724311.html,3500,49.262684,-123.100289,2,1031,True,
https://vancouver.craigslist.org/pml/apa/d/coquitlam-beautiful-furnished-ground/6916694931.html,1800,49.232489,-122.841136,3,1150,True,jul 1
https://vancouver.craigslist.org/rds/apa/d/surrey-central-highrise-2/6918278499.html,1750,49.190607,-122.792118,2,680,False,jun 29
https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new1-bedroom-basement/6913730068.html,1375,49.268163,-122.856447,1,750,False,
https://vancouver.craigslist.org/rds/apa/d/surrey-2-bedroom-basement-suite/6918285252.html,1300,49.119980,-122.873146,2,,False,jul 1
https://vancouver.craigslist.org/pml/apa/d/coquitlam-roommate-wanted-for-furnished/6916128286.html,1190,49.281483,-122.786980,1,950,True,aug 1
https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new2-bedroom-basement/6913727988.html,1500,49.268163,-122.856447,2,800,False,
https://vancouver.craigslist.org/van/apa/d/vancouver-stylish-gastown-condo-for-rent/6906196953.html,1900,49.282911,-123.106827,1,,False,
https://vancouver.craigslist.org/bnc/apa/d/burnaby-2-bdrm-1-bath-condo-by-lougheed/6898400439.html,1800,49.246938,-122.898967,2,850,False,jun 23
https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref2915t6bed-5bath/6918290475.html,8000,49.343378,-123.192091,6,4234,False,aug 1
https://vancouver.craigslist.org/rds/apa/d/surrey-2-bedroom-basement-for-rent-1200/6918290576.html,1200,49.115034,-122.771787,2,,False,jul 1
https://vancouver.craigslist.org/van/apa/d/vancouver-ground-level-one-bedroom/6918291020.html,1950,49.251840,-123.168840,1,700,True,aug 1
https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-laneway-for-rent/6918291705.html,1900,49.222026,-123.091078,2,,False,jul 1
https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-house-in-the-hearth/6916501893.html,2900,49.260402,-123.169906,2,1200,False,jul 1
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-renovated-3br-2bath/6918292020.html,2599,49.211215,-122.922253,3,1600,False,jun 26
https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-2-bedroom-tate/6918279539.html,2500,49.276926,-123.128526,2,630,False,jun 22
https://vancouver.craigslist.org/bnc/apa/d/new-westminster-one-br-renovated-uptown/6918292448.html,1395,49.211215,-122.922253,1,,False,jun 27
https://vancouver.craigslist.org/rds/apa/d/surrey-3-bedroom-house-upper-level/6918284264.html,2400,49.181630,-122.886550,3,,False,
https://vancouver.craigslist.org/rds/apa/d/surrey-house-for-rent/6918293303.html,3600,49.143736,-122.770304,4,5000,False,aug 1
https://vancouver.craigslist.org/rch/apa/d/richmond-recently-renovated-1-bedroom/6918293947.html,1000,49.137425,-123.162378,1,300,False,jul 1
https://vancouver.craigslist.org/van/apa/d/vancouver-executive-fully-furnished/6914402379.html,5900,49.259039,-123.185105,3,2950,True,sep 1
https://vancouver.craigslist.org/rds/apa/d/surrey-two-bedroom-available-now/6918297429.html,1450,49.129920,-122.832568,2,,False,
https://vancouver.craigslist.org/van/apa/d/vancouver-contemporary-brand-new/6915332726.html,1850,49.262863,-123.099139,,497,True,jul 15
https://vancouver.craigslist.org/pml/apa/d/coquitlam-3-bedroom-west-coquitlam/6918300282.html,2400,49.242722,-122.822152,3,1500,False,
https://vancouver.craigslist.org/rds/apa/d/surrey-fully-renovated-extremely/6918295874.html,1200,49.184319,-122.789834,2,1100,False,jul 15
https://vancouver.craigslist.org/rds/apa/d/surrey-newly-updated-bright-2-bedroom/6910731300.html,1695,49.110189,-122.732306,2,1000,False,jul 1
https://vancouver.craigslist.org/pml/apa/d/port-moody-luxurious-house-amazing-view/6907062400.html,3600,49.296444,-122.858090,3,3480,True,jul 1
https://vancouver.craigslist.org/rds/apa/d/surrey-spacious-2-bedroom-basement-suite/6908189440.html,1000,49.152817,-122.778758,2,750,False,jul 1
https://vancouver.craigslist.org/rds/apa/d/surrey-1bathwhole-hse-3bdrm-uprec-rm/6918302014.html,2200,49.158499,-122.834089,3,,False,jul 7
https://vancouver.craigslist.org/rds/apa/d/stunning-3-bedroom-townhome-in-morgan/6912348754.html,2150,,,3,1300,False,aug 1
https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-2-large-bedroom-with/6904886237.html,6800,49.284463,-123.130213,2,1560,False,jun 5
https://vancouver.craigslist.org/pml/apa/d/maple-ridge-house-6br-maple-ridge/6906248907.html,2480,49.216977,-122.641310,,2758,True,jul 1
https://vancouver.craigslist.org/van/apa/d/vancouver-large-unfurnished-1-br-in/6910558453.html,1750,49.263576,-123.203773,1,743,True,jun 10
https://vancouver.craigslist.org/van/apa/d/vancouver-2bed1bath-spacious-semi/6918230794.html,1900,49.247534,-123.162124,2,1200,True,may 1
https://vancouver.craigslist.org/pml/apa/d/coquitlam-3-beddroom-bath-suite/6918230891.html,2250,49.259937,-122.868895,3,1400,False,jul 15
https://vancouver.craigslist.org/van/apa/d/vancouver-5bed7bath-house-south/6898753270.html,5500,49.233542,-123.143358,5,7200,False,
